"caso_numero","victima_edad","victima_identidad_genero","victima_tipo","hecho_provincia","hecho_modalidad_comisiva","hecho_fecha","fuente_tipo","fuente_link","hecho_provincia_indec_id"
"310","47","MUJER","PRINCIPAL","Río Negro","GOLPES","2014-11-20","MEDIO COMUNICACIÓN","http://www.diariouno.com.ar/policiales/una-mendocina-fue-asesinada-su-pareja-bariloche-y-despues-el-se-quito-la-vida-20141121-n154158","62"
"402","7","HOMBRE","VINCULADO","Córdoba","ACUCHILLAMIENTO","2015-08-04","MEDIO COMUNICACIÓN","http://www.diariopopular.com.ar/notas/233296-padre-asesino-sus-hijos-tiros-y-cuchillazos-y-se-suicido","14"
"237","18","MUJER","PRINCIPAL","Santa Fe","DISPARO DE BALA","2014-11-02","MEDIO COMUNICACIÓN","http://www.elciudadanoweb.com/balean-frente-de-una-disco-y-matan-a-promotora-de-18-anos/","82"
"565","46","MUJER","PRINCIPAL","","QUEMADURAS","2016-01-22","MEDIO COMUNICACIÓN","http://www.cadena3.com/contenido/2016/01/22/Hallan-muerta-a-una-mujer-con-graves-quemaduras-en-Punilla-157421.asp",""
"594","27","MUJER","PRINCIPAL","Neuquen","DISPARO DE BALA","2016-01-24","MEDIO COMUNICACIÓN","https://www.lmneuquen.com/se-volvera-hacer-un-juicio-el-crimen-la-paraguaya-n544298","58"
"703","42","MUJER","PRINCIPAL","Buenos Aires","DISPARO DE BALA","2016-07-20","MEDIO COMUNICACIÓN","http://www.brownonline.com.ar/13225-solano-un-colectivero-mato-a-la-mujer-y-se-suicido","06"
"38","22","MUJER","PRINCIPAL","Entre Ríos","GOLPES","2014-10-24","MEDIO COMUNICACIÓN","http://www.elentrerios.com/policiales/confirman-la-condena-de-prisian-perpetua-a-facundo-bressan.htm","30"
"31","41","MUJER","PRINCIPAL","Córdoba","ACUCHILLAMIENTO","2014-07-23","MEDIO COMUNICACIÓN","http://www.vdxonline.com/portal/index.php?option=com_content&view=article&id=10148:femicidio-en-san-jos%C3%A9-enluta-a-traslasierra&catid=82&Itemid=513 http://www.lavoz.com.ar/ciudadanos/ya-son-ocho-los-femicidios-en-lo-que-va-del-ano http://www.lavoz.com.ar/ciudadanos/sigue-profugo-el-hombre-que-ma","14"
"44","","MUJER","PRINCIPAL","Salta","","2014-10-05","FUENTE JUDICIAL","","66"
"14","","MUJER","PRINCIPAL","Buenos Aires","","2015-02-23","MEDIO COMUNICACIÓN","http://www.el1digital.com.ar/articulo/view/61357/se-pospuso-el-juicio-por-el-crimen-de-yanina-ponce-tello","06"
"18","44","MUJER","PRINCIPAL","Ciudad Autónoma de Bs.As.","","2015-02-24","MEDIO COMUNICACIÓN","https://www.diariopopular.com.ar/policiales/prision-perpetua-doble-femicida-madre-e-hija-n335551","02"
"8","45","MUJER","PRINCIPAL","Mendoza","DISPARO DE BALA","2014-08-14","MEDIO COMUNICACIÓN","http://www.clarin.com/sociedad/Entro-trabajo-mato-tiro-suicido_0_1198080282.html","50"
"35","32","MUJER","PRINCIPAL","Corrientes","","2014-09-06","MEDIO COMUNICACIÓN","","18"
"36","10","HOMBRE","VINCULADO","Entre Ríos","DISPARO DE BALA","2014-09-28","MEDIO COMUNICACIÓN","http://www.unoentrerios.com.ar/mato-su-hijo-vengarse-su-expareja-y-se-suicido-n920517","30"
"13","18","MUJER","PRINCIPAL","Buenos Aires","GOLPES","2015-01-09","FUENTE JUDICIAL","","06"
"20","34","MUJER","PRINCIPAL","Córdoba","ACUCHILLAMIENTO","2014-09-13","MEDIO COMUNICACIÓN","http://www.lavoz.com.ar/ciudadanos/perpetua-para-femicida-en-cruz-del",""
"22","33","MUJER","PRINCIPAL","Córdoba","","2014-12-11","MEDIO COMUNICACIÓN","http://www.lavoz.com.ar/ciudadanos/perpetua-para-aragallo-por-el-femicidio-de-eugenia-villafane-en-canals","14"
